,State code,Institute,population,SUSTAINIBILITY SCORE,CA,roi,SDG Index Score
0,GUJ,Silver Oak University,0.003790869461384286,0.7519908987485778,0.85,0.94325112702201,0.9481566820276498
1,RAJ,Mahatma Gandhi,0.10870573910940948,0.6939704209328782,0.21,0.7258021744895252,0.685483870967742
2,TMU,SRM Chennai,0.0024495685638911825,0.8430034129692832,0.68,0.7541766109785202,0.8099078341013825
3,GUJ,NIFT Gandhinagar,0.007176121626324703,0.8156996587030717,0.67,0.8416865552903738,0.8582949308755761
4,TMU,Coimbatore Institute of Technology,0.02129888302584719,0.8407281001137656,0.44,0.8032352161230442,0.7684331797235023
5,RAJ,LNMIIT,0.0005324815782471805,0.9658703071672355,0.47,0.6116856713869,0.8133640552995391
6,BIH,IIT Patna,0.011286110169582184,0.7508532423208191,0.73,0.9459029435163085,0.8732718894009217
7,DEL,SRM University,0.013740149514387004,0.9294653014789533,0.79,0.8594537258021745,0.9009216589861752
8,DEL,Guru Gobind Singh Indraprastha university(GGSIPU),0.00024601217107442675,0.8236632536973834,0.43,0.7234155396446565,0.7188940092165899
9,PJB,Sant Lonogowal Institute of Technology,0.015158522467037416,0.7224118316268486,0.48,0.6446565897639883,0.6440092165898618
10,MAH,NMIMS Mumbai,0.00685817371372614,0.8873720136518771,0.71,0.8621055422964731,0.9089861751152075
11,GUJ,St.Xavier College,0.0007116852045440757,0.732650739476678,0.18,0.3675417661097852,0.5564516129032258
12,GUJ,"Karnavati University,Gandhinagar",0.0036809303288468137,0.7292377701934015,0.26,0.3463272341553964,0.6117511520737328
13,PJB,DAV University,0.008717696677573562,0.8111490329920363,0.26,0.6937151949085123,0.6290322580645161
14,JHK,NIT Jamshedpur,0.022616368511725198,0.8486916951080773,0.5,0.6260938743038981,0.73963133640553
15,DEL,Delhi University(DU),0.14680457060044233,0.9453924914675766,0.65,0.7297798992309732,0.8294930875576038
16,MAH,K.J Somaiya College,0.05176406965237941,0.8725824800910125,0.4,0.5826040837974011,0.7338709677419355
17,MAH,IIM Nagpur,0.749867851781131,0.7531285551763367,0.31,0.6199946963670114,0.5956221198156683
18,KER,"Indian Institute of Space Science and Technology,Thiruvanthapuram",0.0014233598896036487,0.6291240045506257,0.71,0.4258817289843542,0.5771889400921659
19,UP,IIT Kanpur,0.041825398850147126,0.8327645051194539,0.82,0.8496420047732696,0.9055299539170506
20,BIH,Bhagalpur College of Engineering,0.011893585854147912,0.583617747440273,0.26,0.5643065499867409,0.5149769585253456
21,GUJ,"Nirma University,Ahemdabad",0.02900196770884897,0.9510807736063708,0.54,0.6104481569875364,0.7361751152073733
22,PJB,Lovely Professional University,0.0062203675501433285,0.5984072810011376,0.18,0.5558207372049854,0.5380184331797235
23,DEL,Hindu College,0.0033370378609698164,0.4960182025028441,0.14,0.31530098117210287,0.44930875576036866
24,KER,"Indian Institute of Space Science and Technology,Thiruvanthapuram",0.0015511323535690247,0.732650739476678,0.71,0.5038451339167329,0.6278801843317973
25,UP,Sharda University,0.01276426465136234,0.8737201365187712,0.38,0.7692919649960223,0.8306451612903225
26,UP,Invertis University Bareilly,0.0014924525651161947,0.8339021615472126,0.41,0.8301953505171042,0.7004608294930875
27,RAJ,IIM Udaipur,0.014238705053814084,0.7337883959044368,0.76,0.9506762132060461,0.8260368663594471
28,JHK,IIIT Ranchi,0.0347737521800457,0.6905574516496018,0.11,0.5279766640148501,0.6209677419354839
29,MAH,K.J Somaiya College,0.058848290256892866,0.9044368600682593,0.44,0.6398833200742509,0.783410138248848
30,DEL,National Law University ,0.013741749177330377,0.6848691695108077,0.26,0.5661628215327499,0.5887096774193549
31,UP,IMS Ghaziabad,0.08972071908957514,0.8179749715585893,0.75,0.8987006099177935,0.8940092165898618
32,TMU,Coimbatore Institute of Technology,0.020968135705804736,0.8213879408418657,0.45,0.7584195173693979,0.761520737327189
33,GUJ,IHM Gandhinagar,0.007254465136508903,0.8771331058020476,0.38,0.741447891805887,0.8006912442396313
34,RAJ,JECRC University,0.0020068139806580314,0.9124004550625711,0.55,0.6313975072924953,0.849078341013825
35,GUJ,St.Xavier College,0.0007590467289709926,0.7076222980659841,0.26,0.3675417661097852,0.597926267281106
36,UP,IIIT Allahabad,0.021954653663764704,0.6359499431171786,0.38,0.6910633784142137,0.5910138248847926
37,RAJ,JECRC University,0.006519700182965955,0.8521046643913538,0.54,0.6194643330681516,0.7949308755760369
38,RAJ,SKIT College,0.015491880723133433,0.6177474402730375,0.35,0.58472553699284,0.586405529953917
39,MP,NIT Bhopal,0.004279655906203216,0.8873720136518771,0.5,0.6422699549191195,0.73963133640553
40,RAJ,IIT Jodhpur,0.0059663163890119565,0.8418657565415244,0.85,0.8944577035269159,0.9400921658986174
41,MAH,JBIMS Mumbai,0.00270846219438862,0.7599544937428896,0.71,0.9843542826836382,0.8605990783410139
42,UP,Invertis University Bareilly,0.0017075563868248573,0.837315130830489,0.3,0.8330239547069743,0.7004608294930875
43,GUJ,IHM Gandhinagar,0.00783755385080156,0.8873720136518771,0.44,0.7329620790241315,0.8306451612903225
44,RAJ,Manipal University,0.0020142926328404675,0.9306029579067121,0.48,0.5677539114293291,0.8179723502304148
45,GUJ,DAIICT Gandhinagar,0.003341329109347942,0.9613196814562002,0.63,0.7300450808804031,0.8214285714285714
46,PJB,Sant Lonogowal Institute of Technology,0.0204849631592154,0.7303754266211604,0.31,0.6918589233625032,0.6866359447004609
47,MP,IIIT Bhopal,0.0007537161555240029,0.7770193401592718,0.55,0.4578803147175815,0.5887096774193549
48,UP,IMS Ghaziabad,0.08959282389829057,0.8270762229806599,0.65,0.8976398833200742,0.881336405529954
49,GUJ,IHM Gandhinagar,0.006299079943584088,0.8475540386803185,0.27,0.709360912224874,0.7430875576036866
50,JHK,NIT Jamshedpur,0.020157011216854794,0.8020477815699658,0.43,0.5908247149297269,0.685483870967742
51,PJB,Chitkara University Patiala,0.0026615747480632904,0.9840728100113765,0.5,0.5590029169981438,0.8260368663594471
52,PJB,IIM Amritsar,0.00772948578390763,0.8577929465301479,0.73,0.6329885971890744,0.8513824884792628
53,DEL,AIIMS Delhi,0.0046003697419270155,0.5460750853242321,0.27,0.3243171572527181,0.5357142857142857
54,PJB,IIM Amritsar,0.007785003415318956,0.8395904436860068,0.69,0.7316361707769822,0.8387096774193549
55,UP,IMT Ghaziabad,0.001973787007113428,0.8873720136518771,0.58,0.7745955979846195,0.8029953917050692
56,PJB,NIT Jalandhar,0.001181697876020562,0.6689419795221843,0.14,0.5727923627684964,0.5645161290322581
57,UP,IIM Lucknow,0.005775753122050104,0.8612059158134243,0.7,0.8841156191991513,0.8433179723502304
58,RAJ,LNMIIT,0.0004396415171193256,0.8737201365187712,0.37,0.6332537788385044,0.6762672811059909
59,GUJ,IIT Gandhinagar,0.000428289590743004,0.6473265073947667,0.19,0.5059665871121718,0.5380184331797235
60,RAJ,BIT JAIPUR,0.0010245311671588403,0.8668941979522184,0.38,0.8881817377883849,0.706221198156682
61,UP,IMT Ghaziabad,0.0019631020160545765,0.8839590443686006,0.52,0.7523203394325112,0.7903225806451613
62,BIH,IIT Patna,0.003246410398082358,0.8054607508532422,0.8,0.9408644921771413,0.8675115207373272
63,UP,Sharda University,0.010734411597045513,0.8407281001137656,0.35,0.6751524794484222,0.7649769585253458
64,UP,Amity University Lucknow,0.005170778970899113,0.8566552901023889,0.25,0.6420047732696896,0.7235023041474654
65,JHK,NIFFT Ranchi,0.018798010936036454,0.7383390216154722,0.24,0.5574118271015646,0.6301843317972351
